Sport,Event,A_Stand,B_Stand,No_TorD,Class,Age,Gender,Assoc,D1,D2,Implement,Typepool,Event_Group,C_Event,ID
Field,Discus,6.5,6.18,,F11,U11,Male,BA,6/15/2004,1/23/2014,.75K,,FieldF11U11MaleDiscus,FieldDiscusF11,FieldDiscusF11U11Male
Field,Discus,5.02,4.77,,F11,U14,Female,BA,6/15/2004,1/23/2014,.75K,,FieldF11U14FemaleDiscus,FieldDiscusF11,FieldDiscusF11U14Female
Field,Discus,7.09,6.74,,F11,U14,Male,BA,6/15/2004,1/23/2014,.75K,,FieldF11U14MaleDiscus,FieldDiscusF11,FieldDiscusF11U14Male
Field,Discus,5.44,5.17,,F11,U17,Female,BA,6/15/2004,1/7/2019,1K,,FieldF11U17FemaleDiscus,FieldDiscusF11,FieldDiscusF11U17Female
Field,Discus,6.15,5.84,,F11,U17,Male,BA,6/15/2004,1/7/2019,1.5K,,FieldF11U17MaleDiscus,FieldDiscusF11,FieldDiscusF11U17Male
Field,Discus,6.28,5.96,,F11,U20,Female,BA,6/15/2004,1/23/2014,1K,,FieldF11U20FemaleDiscus,FieldDiscusF11,FieldDiscusF11U20Female
Field,Discus,7.09,6.73,,F11,U20,Male,BA,6/15/2004,11/26/2018,1.75K,,FieldF11U20MaleDiscus,FieldDiscusF11,FieldDiscusF11U20Male
Field,Discus,6.69,6.36,,F11,U23,Female,BA,6/15/2004,1/23/2014,1K,,FieldF11U23FemaleDiscus,FieldDiscusF11,FieldDiscusF11U23Female
Field,Discus,9.45,8.98,,F11,U23,Male,BA,6/15/2004,1/23/2014,2K,,FieldF11U23MaleDiscus,FieldDiscusF11,FieldDiscusF11U23Male
Field,Discus,3.54,3.36,,F12,Adults,Female,BA,2/28/2003,1/23/2012,1K,,FieldF12AdultsFemaleDiscus,FieldDiscusF12,FieldDiscusF12AdultsFemale
Field,Discus,4.72,4.48,,F12,Adults,Male,BA,2/28/2003,1/23/2012,2K,,FieldF12AdultsMaleDiscus,FieldDiscusF12,FieldDiscusF12AdultsMale
