Sport,Event,A_Stand,B_Stand,No_TorD,Class,Age,Gender,Assoc,D1,D2,Event_Group,C_Event,ID
Track,800 Meters,00:00.0,00:00.0,NoSD,T54,M35,Female,WC,1/27/2014,1/27/2014,TrackT54M35Female800 Meters,Track800 MetersT54,Track800 MetersT54M35Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T54,Adults,Male,WC,2/26/2003,2/3/2012,TrackT54AdultsMale800 Meters,Track800 MetersT54,Track800 MetersT54AdultsMale
Track,800 Meters,00:00.0,00:00.0,NoSD,T54,Adults,Female,WC,2/26/2003,2/3/2012,TrackT54AdultsFemale800 Meters,Track800 MetersT54,Track800 MetersT54AdultsFemale
Track,800 Meters,02:46.0,02:54.0,,T53,U23,Male,WC,,2/7/2016,TrackT53U23Male800 Meters,Track800 MetersT53,Track800 MetersT53U23Male
Track,800 Meters,03:36.0,03:47.0,,T53,U23,Female,WC,,2/7/2016,TrackT53U23Female800 Meters,Track800 MetersT53,Track800 MetersT53U23Female
Track,800 Meters,03:03.0,03:12.0,,T53,U20,Male,WC,,2/7/2016,TrackT53U20Male800 Meters,Track800 MetersT53,Track800 MetersT53U20Male
Track,800 Meters,03:58.0,04:09.0,,T53,U20,Female,WC,,2/7/2016,TrackT53U20Female800 Meters,Track800 MetersT53,Track800 MetersT53U20Female
Track,800 Meters,03:36.0,03:47.0,,T53,U17,Male,WC,,11/25/2018,TrackT53U17Male800 Meters,Track800 MetersT53,Track800 MetersT53U17Male
Track,800 Meters,04:41.0,04:55.0,,T53,U17,Female,WC,,2/7/2016,TrackT53U17Female800 Meters,Track800 MetersT53,Track800 MetersT53U17Female
Track,800 Meters,03:52.0,04:04.0,,T53,U14,Male,WC,,2/7/2016,TrackT53U14Male800 Meters,Track800 MetersT53,Track800 MetersT53U14Male
Track,800 Meters,05:02.0,05:18.0,,T53,U14,Female,WC,,2/7/2016,TrackT53U14Female800 Meters,Track800 MetersT53,Track800 MetersT53U14Female
Track,800 Meters,04:09.0,04:21.0,,T53,U11,Male,WC,,2/7/2016,TrackT53U11Male800 Meters,Track800 MetersT53,Track800 MetersT53U11Male
Track,800 Meters,05:24.0,05:40.0,,T53,U11,Female,WC,,2/7/2016,TrackT53U11Female800 Meters,Track800 MetersT53,Track800 MetersT53U11Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T53,M60,Male,WC,1/27/2014,1/27/2014,TrackT53M60Male800 Meters,Track800 MetersT53,Track800 MetersT53M60Male
Track,800 Meters,00:00.0,00:00.0,NoSD,T53,M60,Female,WC,1/27/2014,1/27/2014,TrackT53M60Female800 Meters,Track800 MetersT53,Track800 MetersT53M60Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T53,M50,Male,WC,1/27/2014,1/27/2014,TrackT53M50Male800 Meters,Track800 MetersT53,Track800 MetersT53M50Male
Track,800 Meters,00:00.0,00:00.0,NoSD,T53,M50,Female,WC,1/27/2014,1/27/2014,TrackT53M50Female800 Meters,Track800 MetersT53,Track800 MetersT53M50Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T53,M35,Male,WC,1/27/2014,1/27/2014,TrackT53M35Male800 Meters,Track800 MetersT53,Track800 MetersT53M35Male
Track,800 Meters,00:00.0,00:00.0,NoSD,T53,M35,Female,WC,1/27/2014,1/27/2014,TrackT53M35Female800 Meters,Track800 MetersT53,Track800 MetersT53M35Female
Track,800 Meters,00:00.0,00:00.0,NoSD,T53,Adults,Male,WC,2/26/2003,2/3/2012,TrackT53AdultsMale800 Meters,Track800 MetersT53,Track800 MetersT53AdultsMale
